Hi,Greetings
Hello,Greetings
hey my friend,Greetings
hey my buddy,Greetings
bonjour,Greetings
bonjour,Greetings
good morning,Greetings
good morning,Greetings
good afternoon,Greetings
good afternoon,Greetings
hey there,Greetings
hey there,Greetings
helo,Greetings
hey baby,Greetings
hi there,Greetings
hi there,Greetings
hey there all,Greetings
hi everybody,Greetings
morning,Greetings
morning,Greetings
regards,Greetings
salut,Greetings
salutations,Greetings
wake up,Greetings
greetings,Greetings
greetings,Greetings
how is everyone,Greetings
it means hello,Greetings
konnichi wa,Greetings
konnichiwa,Greetings
moshi moshi,Greetings
mooshi mooshi,Greetings
shalom,Greetings
Hellas,Greetings
greeting,Greetings
Hello how is,Greetings
hello how is,Greetings
Hello  how is,Greetings
hello  how is,Greetings
Hello,Greetings
hi,Greetings
good evening,Greetings
evening,Greetings
hello there,Greetings
hey,Greetings
Hello it is me,Greetings
Hey you,Greetings
thought I would say hello,Greetings
hello my friend,Greetings
hey Watson,Greetings
hello Watson,Greetings
hey there Watson,Greetings
hey Watson,Greetings
hello Watson,Greetings
hey there Watson,Greetings
hello my Watson,Greetings
hello my Watson,Greetings
Hello how are you?,Feeling Questions
Hi. How are you doing?,Feeling Questions
Hi how are you?,Feeling Questions
Hello,Feeling Questions
Hey. What's happening?,Feeling Questions
Hi. How is your day going?,Feeling Questions
Hi. How are you today?,Feeling Questions
Hey there.,Feeling Questions
Hey nice to speak to you.,Feeling Questions
Hi. What are you up to?,Feeling Questions
How are you?,Feeling Questions
hi how are you,Feeling Questions
how are you today,Feeling Questions
how are you today,Feeling Questions
how is it going today,Feeling Questions
hello  how are you,Feeling Questions
how was your day,Feeling Questions
how are you feeling,Feeling Questions
how are you feeling,Feeling Questions
how are you this evening,Feeling Questions
how has your day been,Feeling Questions
how is everything,Feeling Questions
how is everything,Feeling Questions
how is everything,Feeling Questions
how is your day going,Feeling Questions
so how are you,Feeling Questions
so how are you,Feeling Questions
how you going,Feeling Questions
how you going,Feeling Questions
how you going,Feeling Questions
how you are,Feeling Questions
how you are,Feeling Questions
how do you do,Feeling Questions
how do you do,Feeling Questions
I am good thanks and you,Feeling Questions
I am good thanks how are you,Feeling Questions
everything is ok?,Feeling Questions
is everything ok,Feeling Questions
is everything alright,Feeling Questions
are you fine,Feeling Questions
I am good you,Feeling Questions
I am good you,Feeling Questions
how you are feeling,Feeling Questions
how you are feeling,Feeling Questions
How are you?,Feeling Questions
como estas,Feeling Questions
how are you tonight,Feeling Questions
how is you,Feeling Questions
how goes it,Feeling Questions
how you been,Feeling Questions
how is it going,Feeling Questions
hello how are you,Feeling Questions
hey how are you,Feeling Questions
hey how are you doing,Feeling Questions
how are you doing,Feeling Questions
how are ya,Feeling Questions
how are things with you,Feeling Questions
how you doing,Feeling Questions
how you been doing,Feeling Questions
how have you been,Feeling Questions
How are things going,Feeling Questions
how you feeling,Feeling Questions
how  you feeling,Feeling Questions
I am ok how are you,Feeling Questions
are you well,Feeling Questions
good how are you,Feeling Questions
great how are you,Feeling Questions
I am well how are you,Feeling Questions
good  how are you,Feeling Questions
great  how are you,Feeling Questions
I am well  how are you,Feeling Questions
good thank you how are you,Feeling Questions
how are things,Feeling Questions
how go things,Feeling Questions
how the hell are you,Feeling Questions
are you doing alright,Feeling Questions
thank you how are you,Feeling Questions
I feel good  how about you,Feeling Questions
I feel good how about you,Feeling Questions
I feel good  how are you,Feeling Questions
I feel good how are you,Feeling Questions
fine thank you and you,Feeling Questions
I am good how you doing,Feeling Questions
I am fine how you doing,Feeling Questions
how are you doing today,Feeling Questions
how you doing today,Feeling Questions
I hope you are well,Feeling Questions
thank you  how are you,Feeling Questions
wie gehts,Feeling Questions
hello how is it going,Feeling Questions
nothing how are you,Feeling Questions
nothing much how are you,Feeling Questions
are you doing well,Feeling Questions
how is yourself,Feeling Questions
have you been well,Feeling Questions
have you been good,Feeling Questions
how was you are day,Feeling Questions
hello  how you doing,Feeling Questions
hello are you well today,Feeling Questions
hello how is your day going,Feeling Questions
how you are feeling today,Feeling Questions
I'm really good thanks.,Feeling Questions
I'm great thanks.,Feeling Questions
I'm feeling much better now that you're chatting to me.,Feeling Questions
I'm feeling good.,Feeling Questions
I'm really good thanks.,Feeling Questions
Goodbye,Goodbye Greetings
bye bye,Goodbye Greetings
bye bye,Goodbye Greetings
sayonara,Goodbye Greetings
so long,Goodbye Greetings
by by,Goodbye Greetings
cheers,Goodbye Greetings
ciao means goodbye,Goodbye Greetings
good by,Goodbye Greetings
goodby,Goodbye Greetings
ta ta,Goodbye Greetings
hasta,Goodbye Greetings
hasta la vista,Goodbye Greetings
hasta la vista,Goodbye Greetings
asta la vista,Goodbye Greetings
hasta luego,Goodbye Greetings
be well,Goodbye Greetings
um  bye,Goodbye Greetings
um  byebye,Goodbye Greetings
ok then bye,Goodbye Greetings
ok bye,Goodbye Greetings
Goodbye,Goodbye Greetings
good bye,Goodbye Greetings
bye,Goodbye Greetings
take care,Goodbye Greetings
Have a  day,Goodbye Greetings
Have a nice day,Goodbye Greetings
have a lovely day,Goodbye Greetings
Ok goodbye,Goodbye Greetings
I am gone,Goodbye Greetings
Peace out,Goodbye Greetings
good Goodbye,Goodbye Greetings
good good bye,Goodbye Greetings
good bye for now,Goodbye Greetings
